店名,場所,経度,緯度
ローソン／能美岩内店,石川県能美市岩内町 １２７６,136.56874,36.4508
セブン‐イレブン／白山平松町店,石川県白山市平松町 １０９−２,136.56802,36.50703
ファミリーマート／穴水大町店,石川県鳳珠郡穴水町字大町 ろ１１,136.89807,37.22732
セブン‐イレブン／七尾小島町店,石川県七尾市小島町 ヘ１３０−１,136.95763,37.0495
ローソン／金沢福久町店,石川県金沢市福久町ホ ５−１,136.67973,36.61438
ファミリーマート薬コメヤ金沢片町店,石川県金沢市片町２丁目 ２−１５,136.65225,36.55996
セブン‐イレブン／金沢八日市５丁目店,石川県金沢市八日市５丁目 ４３０,136.61002,36.54987
ファミリーマート／金沢本町店,石川県金沢市本町２丁目 ２０−２８,136.65117,36.57553
ファミリーマート／七尾飯川店,石川県七尾市飯川町 け６４,136.93513,37.00688
ファミリーマート／金沢木材団地店,石川県金沢市湊２丁目 １１４−２５,136.65114,36.63718
ファミリーマート／金沢松村三丁目店,石川県金沢市松村３丁目 ４４８,136.61533,36.58387
ファミリーマート／金沢八田町店,石川県金沢市八田町東 ８９６−１,136.68269,36.63602
ローソン／能美辰口運動公園前店,石川県能美市辰口町 ２０１,136.54597,36.45049
ファミリーマート／かほく大崎南店,石川県かほく市内日角 カ１−１,136.69823,36.70402
ファミリーマート／七尾藤橋町店,石川県七尾市藤橋町 申４７−１,136.95616,37.04103
ローソン／金沢諸江町店,石川県金沢市諸江町中丁 ３４８−１,136.64537,36.59888
ファミリーマート／小松園町東店,石川県小松市園町 ニ４２−１,136.46655,36.40362
ファミリーマート／手取あおう店,石川県能美市粟生町 ネ５０−１,136.5078,36.45787
セブン‐イレブン／小松園町店,石川県小松市園町 ハ１８８−１,136.4565,36.40723
ローソン／加賀西島店,石川県加賀市西島町 チ１６−１,136.367,36.31233
セブン‐イレブン／七尾古府町店,石川県七尾市古府町 る１−１,136.96252,37.02854
セブン‐イレブン／七尾本府中店,石川県七尾市本府中町 ヲ２５−１,136.9691,37.03444
ローソン／白山相木町店,石川県白山市相木１丁目 ４−６,136.562,36.52989
セブン‐イレブン／金沢三口新町３丁目店,石川県金沢市三口新町３丁目 ６１４,136.67943,36.5447
ファミリーマート／金沢小坂町店,石川県金沢市小坂町北 １６５−２,136.67583,36.59359
セブン‐イレブン／中能登町徳前店,石川県鹿島郡中能登町徳前 の１０−１,136.92058,36.97622
